rank,fecha_alerta,client_id,familia,tipo_alerta,label_m0,canal,motivo,impacto_estimado,score_prioridad,dias_restantes,estado,provincia,last_order_date,prob_pedido_7d,cusum_score,anomaly_score,anomaly_type,zscore_30d
29,2026-05-10,1000077725,Familia T1,A4,leal,Delegado,"Anomalía en Familia T1 (score: -0.087). Tipo: silencio_excesivo, reduccion_familias_activas. Lleva 172 días sin pedir (media: 39 días). Ratio: 97% del potencial.",432.03,972.0675,,pendiente,Sevilla,2025-07-10,,,-0.08660448441735036,silencio_excesivo|reduccion_familias_activas,
30,2026-05-10,1000081017,Familia T2,A4,leal,Delegado,"Anomalía en Familia T2 (score: -0.209). Tipo: silencio_excesivo, reduccion_familias_activas. Lleva 271 días sin pedir (media: 62 días). Ratio: 200% del potencial.",429.76,966.96,,pendiente,Barcelona,2025-04-02,,,-0.20862877975774508,silencio_excesivo|reduccion_familias_activas,
31,2026-05-10,1000041067,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 54 días de media. Último pedido hace 243 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,627.54,941.31,-162.9,pendiente,Vizcaya,2025-04-30,0.0011,,,,
32,2026-05-10,1000067238,Familia T1,A4,leal,Delegado,"Anomalía en Familia T1 (score: -0.077). Tipo: silencio_excesivo, reduccion_familias_activas. Lleva 117 días sin pedir (media: 56 días). Ratio: 94% del potencial.",412.76,928.71,,pendiente,Barcelona,2025-09-03,,,-0.07653200321223719,silencio_excesivo|reduccion_familias_activas,
33,2026-05-10,1000081986,Familia T2,A4,leal,Delegado,Anomalía en Familia T2 (score: -0.161). Tipo: patron_anomalo_general. Lleva 32 días sin pedir (media: 128 días). Ratio: 200% del potencial.,396.14,891.315,,pendiente,Madrid,2025-11-27,,,-0.16142691413833066,patron_anomalo_general,
34,2026-05-10,6401,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.030). Tipo: patron_anomalo_general. Lleva 18 días sin pedir (media: 48 días). Ratio: 53% del potencial.,390.67,879.0075,,pendiente,Navarra,2025-12-11,,,-0.02978104807425741,patron_anomalo_general,
35,2026-05-10,26926,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.063). Tipo: patron_anomalo_general. Lleva 33 días sin pedir (media: 63 días). Ratio: 57% del potencial.,373.59,840.5775,,pendiente,Sta.Cruz Tenerife,2025-11-26,,,-0.06273823197326411,patron_anomalo_general,
36,2026-05-10,40513,Familia C2,A1,leal,Televendedor,Cliente leal. Pide Familia C2 cada 54 días de media. Último pedido hace 182 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,559.8,839.7,-127.5,pendiente,Vizcaya,2025-06-30,0.0,,,,
37,2026-05-10,9318,Familia C2,A3,leal,Delegado,Fuga sostenida en Familia C2 (leal). Señales: CUSUM (-13201.65); slope 90d (-1320.307). Ratio: 117% del potencial.,372.36,837.81,,pendiente,Vizcaya,2025-12-24,,-13201.6492,,,
38,2026-05-10,1000057832,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.078). Tipo: patron_anomalo_general. Lleva 7 días sin pedir (media: 60 días). Ratio: 53% del potencial.,369.7,831.825,,pendiente,Madrid,2025-12-22,,,-0.07848799461025835,patron_anomalo_general,
39,2026-05-10,1000101729,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 63 días de media. Último pedido hace 200 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,517.79,776.685,-137.0,pendiente,Alicante,2025-06-12,0.0,,,,
40,2026-05-10,1000101688,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 145 días de media. Último pedido hace 194 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 3%.,517.79,776.685,-49.0,pendiente,Valencia,2025-06-18,0.031,,,,
41,2026-05-10,39187,Familia C2,A3,leal,Delegado,Fuga sostenida en Familia C2 (leal). Señales: CUSUM (-11849.30); slope 90d (-1185.036). Ratio: 112% del potencial.,339.79,764.5275,,pendiente,Ciudad Real,2025-12-03,,-11849.2965,,,
42,2026-05-10,1000072252,Familia C2,A1,leal,Televendedor,Cliente leal. Pide Familia C2 cada 84 días de media. Último pedido hace 174 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,476.28,714.42,-98.2,pendiente,Pontevedra,2025-07-08,0.0008,,,,
43,2026-05-10,1000068670,Familia T2,A4,leal,Delegado,Anomalía en Familia T2 (score: -0.069). Tipo: reduccion_familias_activas. Lleva 202 días sin pedir (media: 126 días). Ratio: 68% del potencial.,316.36,711.81,,pendiente,Tarragona,2025-06-10,,,-0.06909976261671291,reduccion_familias_activas,
44,2026-05-10,30883,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.017). Tipo: patron_anomalo_general. Lleva 47 días sin pedir (media: 72 días). Ratio: 41% del potencial.,308.82,694.845,,pendiente,Valencia,2025-11-12,,,-0.016826350794031608,patron_anomalo_general,
45,2026-05-10,1000081017,Familia T1,A4,leal,Delegado,"Anomalía en Familia T1 (score: -0.172). Tipo: silencio_excesivo, reduccion_familias_activas. Lleva 271 días sin pedir (media: 31 días). Ratio: 200% del potencial.",308.38,693.855,,pendiente,Barcelona,2025-04-02,,,-0.17199930445827027,silencio_excesivo|reduccion_familias_activas,
46,2026-05-10,1000080486,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.066). Tipo: reduccion_familias_activas. Lleva 115 días sin pedir (media: 80 días). Ratio: 87% del potencial.,263.1,591.975,,pendiente,Barcelona,2025-09-05,,,-0.06608421457327784,reduccion_familias_activas,
47,2026-05-10,22405,Familia C2,A1,leal,Televendedor,Cliente leal. Pide Familia C2 cada 86 días de media. Último pedido hace 115 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 5%.,386.61,579.915,-29.0,pendiente,Asturias,2025-09-05,0.0469,,,,
48,2026-05-10,1000102166,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 14 días de media. Último pedido hace 24 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,380.75,571.125,-14.9,pendiente,Barcelona,2025-12-05,0.0,,,,
49,2026-05-10,32365,Familia T1,A4,promiscuo,Delegado,"Anomalía en Familia T1 (score: -0.011). Tipo: silencio_excesivo, reduccion_familias_activas. Lleva 237 días sin pedir (media: 99 días). Ratio: 35% del potencial.",246.47,554.5575,,pendiente,Alicante,2025-05-06,,,-0.011423753121883262,silencio_excesivo|reduccion_familias_activas,
50,2026-05-10,39127,Familia C2,A1,leal,Televendedor,Cliente leal. Pide Familia C2 cada 21 días de media. Último pedido hace 33 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 11%.,364.96,547.44,-12.4,pendiente,Soria,2025-11-26,0.1127,,,,
51,2026-05-10,1000081368,Familia C2,A3,leal,Delegado,Fuga sostenida en Familia C2 (leal). Señales: CUSUM (-9751.09); slope 90d (-975.158). Ratio: 76% del potencial.,242.63,545.9175,,pendiente,León,2025-12-02,,-9751.0915,,,
52,2026-05-10,1000102016,Familia C1,A1,promiscuo,Televendedor,Cliente promiscuo. Pide Familia C1 cada 32 días de media. Último pedido hace 154 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,359.57,539.355,-122.0,pendiente,Alicante,2025-07-28,0.0,,,,
53,2026-05-10,39697,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 85 días de media. Último pedido hace 87 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 11%.,352.99,529.485,-6.3,pendiente,Almería,2025-10-03,0.1067,,,,
54,2026-05-10,28119,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 72 días de media. Último pedido hace 95 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 6%.,349.43,524.145,-23.0,pendiente,Granada,2025-09-25,0.061,,,,
55,2026-05-10,40897,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 56 días de media. Último pedido hace 46 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 16%.,344.71,517.065,-6.2,pendiente,Alicante,2025-11-13,0.1594,,,,
56,2026-05-10,29912,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 84 días de media. Último pedido hace 262 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,344.55,516.825,-178.0,pendiente,Sevilla,2025-04-11,0.0,,,,
57,2026-05-10,34301,Familia T2,A4,leal,Delegado,Anomalía en Familia T2 (score: -0.051). Tipo: reduccion_familias_activas. Lleva 101 días sin pedir (media: 182 días). Ratio: 57% del potencial.,228.78,514.755,,pendiente,Pontevedra,2025-09-19,,,-0.05144865987554659,reduccion_familias_activas,
58,2026-05-10,39298,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 91 días de media. Último pedido hace 173 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,336.16,504.24,-92.0,pendiente,Cantabria,2025-07-09,0.0007,,,,
59,2026-05-10,1000081917,Familia C2,A1,leal,Televendedor,Cliente leal. Pide Familia C2 cada 124 días de media. Último pedido hace 231 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,335.59,503.385,-107.0,pendiente,Jaén,2025-05-12,0.0009,,,,
60,2026-05-10,1000077781,Familia C2,A1,leal,Televendedor,Cliente leal. Pide Familia C2 cada 51 días de media. Último pedido hace 68 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 8%.,335.59,503.385,-23.9,pendiente,Toledo,2025-10-22,0.0773,,,,
61,2026-05-10,6401,Familia T2,A4,promiscuo,Delegado,Anomalía en Familia T2 (score: -0.074). Tipo: patron_anomalo_general. Lleva 73 días sin pedir (media: 83 días). Ratio: 40% del potencial.,221.75,498.9375,,pendiente,Navarra,2025-10-17,,,-0.07358944114608501,patron_anomalo_general,
62,2026-05-10,31665,Familia C2,A3,leal,Delegado,Fuga sostenida en Familia C2 (leal). Señales: CUSUM (-7289.97); slope 90d (-729.108). Ratio: 88% del potencial.,209.45,471.2625,,pendiente,Barcelona,2025-12-23,,-7289.971,,,
63,2026-05-10,37972,Familia C1,A1,promiscuo,Televendedor,Cliente promiscuo. Pide Familia C1 cada 3 días de media. Último pedido hace 329 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,312.35,468.525,-326.0,pendiente,Valencia,2025-02-03,0.0,,,,
64,2026-05-10,1000082431,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 101 días de media. Último pedido hace 105 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 9%.,307.49,461.235,-2.6,pendiente,Murcia,2025-09-15,0.0892,,,,
65,2026-05-10,1000076415,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 73 días de media. Último pedido hace 161 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,305.88,458.82,-89.9,pendiente,Vizcaya,2025-07-21,0.0,,,,
66,2026-05-10,1000078813,Familia C1,A2,promiscuo,Delegado,Cliente promiscuo en ventana de captura para Familia C1. Lleva 234 días sin pedir (media: 116 días). Ratio captura actual: 55% del potencial.,253.71,456.678,,pendiente,Zaragoza,2025-05-09,,,,,
67,2026-05-10,32501,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 44 días de media. Último pedido hace 88 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,281.01,421.515,-42.8,pendiente,Las Palmas,2025-10-02,0.0,,,,
68,2026-05-10,28420,Familia C1,A2,promiscuo,Delegado,Cliente promiscuo en ventana de captura para Familia C1. Lleva 186 días sin pedir (media: 114 días). Ratio captura actual: 52% del potencial.,230.13,414.234,,pendiente,Segovia,2025-06-26,,,,,
69,2026-05-10,1000076111,Familia C1,A2,promiscuo,Delegado,Cliente promiscuo en ventana de captura para Familia C1. Lleva 199 días sin pedir (media: 147 días). Ratio captura actual: 64% del potencial.,229.11,412.398,,pendiente,Sevilla,2025-06-13,,,,,
70,2026-05-10,1000102225,Familia C1,A2,promiscuo,Delegado,Cliente promiscuo en ventana de captura para Familia C1. Lleva 24 días sin pedir (media: 14 días). Ratio captura actual: 40% del potencial.,228.45,411.21,,pendiente,Barcelona,2025-12-05,,7603.8118,,,
71,2026-05-10,11664,Familia T2,A4,leal,Delegado,Anomalía en Familia T2 (score: -0.053). Tipo: reduccion_familias_activas. Lleva 129 días sin pedir (media: 102 días). Ratio: 56% del potencial.,179.81,404.5725,,pendiente,Orense,2025-08-22,,,-0.052956990088698475,reduccion_familias_activas,
72,2026-05-10,1000078513,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.014). Tipo: reduccion_familias_activas. Lleva 147 días sin pedir (media: 96 días). Ratio: 52% del potencial.,178.99,402.7275,,pendiente,Madrid,2025-08-04,,,-0.013698903972325316,reduccion_familias_activas,
73,2026-05-10,11131,Familia C1,A1,promiscuo,Televendedor,Cliente promiscuo. Pide Familia C1 cada 129 días de media. Último pedido hace 210 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 1%.,265.3,397.95,-95.3,pendiente,Zaragoza,2025-06-02,0.0067,,,,
74,2026-05-10,42849,Familia C1,A2,promiscuo,Delegado,Cliente promiscuo en ventana de captura para Familia C1. Lleva 214 días sin pedir (media: 127 días). Ratio captura actual: 63% del potencial.,219.17,394.506,,pendiente,Las Palmas,2025-05-29,,,,,
75,2026-05-10,6510,Familia T1,A4,promiscuo,Delegado,Anomalía en Familia T1 (score: -0.048). Tipo: patron_anomalo_general. Lleva 18 días sin pedir (media: 58 días). Ratio: 22% del potencial.,171.95,386.8875,,pendiente,Tarragona,2025-12-11,,,-0.0476324608072638,patron_anomalo_general,
76,2026-05-10,1000078813,Familia C1,A1,promiscuo,Televendedor,Cliente promiscuo. Pide Familia C1 cada 116 días de media. Último pedido hace 234 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,253.71,380.565,-118.0,pendiente,Zaragoza,2025-05-09,0.0002,,,,
77,2026-05-10,42498,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 74 días de media. Último pedido hace 96 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 1%.,251.73,377.595,-21.7,pendiente,Sevilla,2025-09-24,0.0106,,,,
78,2026-05-10,42552,Familia C1,A1,promiscuo,Televendedor,Cliente promiscuo. Pide Familia C1 cada 42 días de media. Último pedido hace 96 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 1%.,249.7,374.55,-24.8,pendiente,Tarragona,2025-09-24,0.0141,,,,
79,2026-05-10,1000077081,Familia C1,A1,promiscuo,Televendedor,Cliente promiscuo. Pide Familia C1 cada 71 días de media. Último pedido hace 118 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 3%.,247.68,371.52,-44.5,pendiente,Murcia,2025-09-02,0.0311,,,,
80,2026-05-10,5837,Familia T2,A4,promiscuo,Delegado,Anomalía en Familia T2 (score: -0.048). Tipo: reduccion_familias_activas. Lleva 167 días sin pedir (media: 141 días). Ratio: 50% del potencial.,163.94,368.865,,pendiente,Pontevedra,2025-07-15,,,-0.04795520278472176,reduccion_familias_activas,
81,2026-05-10,4872,Familia C2,A1,leal,Televendedor,Cliente leal. Pide Familia C2 cada 88 días de media. Último pedido hace 245 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,245.81,368.715,-157.0,pendiente,Huelva,2025-04-28,0.0,,,,
82,2026-05-10,37468,Familia C2,A1,promiscuo,Televendedor,Cliente promiscuo. Pide Familia C2 cada 91 días de media. Último pedido hace 215 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,239.9,359.85,-134.7,pendiente,Cantabria,2025-05-28,0.0,,,,
83,2026-05-10,23706,Familia C1,A2,promiscuo,Delegado,Cliente promiscuo en ventana de captura para Familia C1. Lleva 174 días sin pedir (media: 169 días). Ratio captura actual: 60% del potencial.,198.56,357.408,,pendiente,Almería,2025-07-08,,,,,
84,2026-05-10,42933,Familia C1,A2,promiscuo,Delegado,Cliente promiscuo en ventana de captura para Familia C1. Lleva 130 días sin pedir (media: 98 días). Ratio captura actual: 60% del potencial.,198.56,357.408,,pendiente,Girona,2025-08-21,,,,,
85,2026-05-10,1000078347,Familia C1,A2,promiscuo,Delegado,Cliente promiscuo en ventana de captura para Familia C1. Lleva 179 días sin pedir (media: 128 días). Ratio captura actual: 60% del potencial.,198.56,357.408,,pendiente,Madrid,2025-07-03,,,,,
86,2026-05-10,1000100416,Familia C1,A2,promiscuo,Delegado,Cliente promiscuo en ventana de captura para Familia C1. Lleva 187 días sin pedir (media: 162 días). Ratio captura actual: 60% del potencial.,198.56,357.408,,pendiente,Toledo,2025-06-25,,,,,
87,2026-05-10,1000072976,Familia C1,A2,promiscuo,Delegado,Cliente promiscuo en ventana de captura para Familia C1. Lleva 200 días sin pedir (media: 136 días). Ratio captura actual: 60% del potencial.,198.56,357.408,,pendiente,Sevilla,2025-06-12,,,,,
88,2026-05-10,29855,Familia C1,A2,promiscuo,Delegado,Cliente promiscuo en ventana de captura para Familia C1. Lleva 167 días sin pedir (media: 96 días). Ratio captura actual: 60% del potencial.,198.56,357.408,,pendiente,Murcia,2025-07-15,,,,,
89,2026-05-10,13953,Familia C1,A2,promiscuo,Delegado,Cliente promiscuo en ventana de captura para Familia C1. Lleva 91 días sin pedir (media: 63 días). Ratio captura actual: 60% del potencial.,198.56,357.408,,pendiente,Cáceres,2025-09-29,,,,,
90,2026-05-10,29768,Familia C1,A1,promiscuo,Televendedor,Cliente promiscuo. Pide Familia C1 cada 49 días de media. Último pedido hace 175 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,237.09,355.635,-126.0,pendiente,Madrid,2025-07-07,0.0,,,,
91,2026-05-10,36119,Familia C2,A1,leal,Televendedor,Cliente leal. Pide Familia C2 cada 70 días de media. Último pedido hace 74 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 9%.,235.97,353.955,-4.2,pendiente,Huelva,2025-10-16,0.0922,,,,
92,2026-05-10,33953,Familia C2,A1,leal,Televendedor,Cliente leal. Pide Familia C2 cada 49 días de media. Último pedido hace 59 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 12%.,231.8,347.7,-21.8,pendiente,Almería,2025-10-31,0.1185,,,,
93,2026-05-10,1000100471,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 100 días de media. Último pedido hace 143 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 3%.,230.8,346.2,-43.5,pendiente,Vizcaya,2025-08-08,0.0279,,,,
94,2026-05-10,1000081410,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 84 días de media. Último pedido hace 110 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 5%.,230.13,345.195,-26.3,pendiente,Sevilla,2025-09-10,0.0539,,,,
