Id.Cliente,Familia,Categoria Productos,Potencial
255,Biomateriales,Categoria C2,18494.600000000002
255,Bioseguridad,Categoria C2,1667.3400000000001
258,Anestesia,Categoria C1,2223.12
258,Biomateriales,Categoria C2,4625.22
258,Bioseguridad,Categoria C2,1086.44
290,Anestesia,Categoria C1,3410.04
290,Biomateriales,Categoria C2,0
290,Bioseguridad,Categoria C2,1667.3400000000001
300,Anestesia,Categoria C1,2223.12
300,Biomateriales,Categoria C2,5548.38
300,Bioseguridad,Categoria C2,1086.44
317,Anestesia,Categoria C1,3410.04
317,Biomateriales,Categoria C2,0
317,Bioseguridad,Categoria C2,1667.3400000000001
330,Anestesia,Categoria C1,2223.12
330,Biomateriales,Categoria C2,9247.300000000001
330,Bioseguridad,Categoria C2,1086.44
346,Anestesia,Categoria C1,2223.12
346,Biomateriales,Categoria C2,8324.140000000001
346,Bioseguridad,Categoria C2,1086.44
349,Anestesia,Categoria C1,2223.12
349,Biomateriales,Categoria C2,5338
349,Bioseguridad,Categoria C2,1086.44
351,Anestesia,Categoria C1,5683.400000000001
351,Biomateriales,Categoria C2,9247.300000000001
351,Bioseguridad,Categoria C2,2778.9
356,Anestesia,Categoria C1,2223.12
356,Biomateriales,Categoria C2,5338
356,Bioseguridad,Categoria C2,1086.44
367,Anestesia,Categoria C1,3410.04
367,Biomateriales,Categoria C2,18494.600000000002
367,Bioseguridad,Categoria C2,1667.3400000000001
369,Anestesia,Categoria C1,2223.12
369,Biomateriales,Categoria C2,0
369,Bioseguridad,Categoria C2,1086.44
376,Anestesia,Categoria C1,3410.04
376,Biomateriales,Categoria C2,13872.52
376,Bioseguridad,Categoria C2,1667.3400000000001
382,Anestesia,Categoria C1,2223.12
382,Biomateriales,Categoria C2,0
382,Bioseguridad,Categoria C2,1086.44
383,Anestesia,Categoria C1,3410.04
383,Biomateriales,Categoria C2,18494.600000000002
383,Bioseguridad,Categoria C2,1667.3400000000001
400,Anestesia,Categoria C1,2223.12
400,Biomateriales,Categoria C2,5338
400,Bioseguridad,Categoria C2,1086.44
433,Anestesia,Categoria C1,3410.04
433,Biomateriales,Categoria C2,4625.22
433,Bioseguridad,Categoria C2,1667.3400000000001
435,Anestesia,Categoria C1,2223.12
435,Biomateriales,Categoria C2,5338
435,Bioseguridad,Categoria C2,1086.44
462,Anestesia,Categoria C1,2223.12
462,Biomateriales,Categoria C2,5338
462,Bioseguridad,Categoria C2,1086.44
473,Anestesia,Categoria C1,3410.04
473,Biomateriales,Categoria C2,8007
473,Bioseguridad,Categoria C2,1667.3400000000001
474,Anestesia,Categoria C1,3410.04
474,Biomateriales,Categoria C2,8007
474,Bioseguridad,Categoria C2,1667.3400000000001
475,Anestesia,Categoria C1,2223.12
475,Biomateriales,Categoria C2,5338
475,Bioseguridad,Categoria C2,1086.44
477,Anestesia,Categoria C1,2223.12
477,Biomateriales,Categoria C2,5338
477,Bioseguridad,Categoria C2,1086.44
495,Anestesia,Categoria C1,2223.12
495,Biomateriales,Categoria C2,741.0400000000001
495,Bioseguridad,Categoria C2,1086.44
496,Anestesia,Categoria C1,2223.12
496,Biomateriales,Categoria C2,0
496,Bioseguridad,Categoria C2,1086.44
497,Anestesia,Categoria C1,2223.12
497,Biomateriales,Categoria C2,0
497,Bioseguridad,Categoria C2,1086.44
519,Anestesia,Categoria C1,2223.12
519,Biomateriales,Categoria C2,5338
519,Bioseguridad,Categoria C2,1086.44
523,Anestesia,Categoria C1,2223.12
523,Biomateriales,Categoria C2,5338
523,Bioseguridad,Categoria C2,1086.44
542,Anestesia,Categoria C1,2223.12
542,Biomateriales,Categoria C2,11096.76
542,Bioseguridad,Categoria C2,1086.44
544,Anestesia,Categoria C1,2223.12
544,Biomateriales,Categoria C2,5338
544,Bioseguridad,Categoria C2,1086.44
551,Anestesia,Categoria C1,2223.12
551,Biomateriales,Categoria C2,13872.52
551,Bioseguridad,Categoria C2,1086.44
553,Anestesia,Categoria C1,3410.04
553,Biomateriales,Categoria C2,18494.600000000002
553,Bioseguridad,Categoria C2,1667.3400000000001
573,Anestesia,Categoria C1,2223.12
573,Biomateriales,Categoria C2,5338
573,Bioseguridad,Categoria C2,1086.44
576,Anestesia,Categoria C1,2223.12
576,Biomateriales,Categoria C2,4625.22
576,Bioseguridad,Categoria C2,1086.44
583,Anestesia,Categoria C1,3410.04
583,Biomateriales,Categoria C2,8007
583,Bioseguridad,Categoria C2,1667.3400000000001
631,Anestesia,Categoria C1,3410.04
631,Biomateriales,Categoria C2,27741.9
631,Bioseguridad,Categoria C2,1667.3400000000001
632,Anestesia,Categoria C1,2223.12
632,Biomateriales,Categoria C2,0
632,Bioseguridad,Categoria C2,1086.44
653,Anestesia,Categoria C1,1802.3600000000001
653,Biomateriales,Categoria C2,2669
653,Bioseguridad,Categoria C2,879.2
654,Anestesia,Categoria C1,2223.12
654,Biomateriales,Categoria C2,5548.38
654,Bioseguridad,Categoria C2,1086.44
664,Anestesia,Categoria C1,1802.3600000000001
664,Biomateriales,Categoria C2,2669
664,Bioseguridad,Categoria C2,879.2
667,Anestesia,Categoria C1,1802.3600000000001
667,Biomateriales,Categoria C2,0
667,Bioseguridad,Categoria C2,879.2
669,Anestesia,Categoria C1,2223.12
669,Biomateriales,Categoria C2,11096.76
669,Bioseguridad,Categoria C2,1086.44
670,Anestesia,Categoria C1,1802.3600000000001
670,Biomateriales,Categoria C2,0
670,Bioseguridad,Categoria C2,879.2
683,Anestesia,Categoria C1,1802.3600000000001
683,Biomateriales,Categoria C2,0
683,Bioseguridad,Categoria C2,879.2
685,Anestesia,Categoria C1,2223.12
685,Biomateriales,Categoria C2,5338
685,Bioseguridad,Categoria C2,1086.44
714,Anestesia,Categoria C1,1802.3600000000001
714,Biomateriales,Categoria C2,8324.140000000001
714,Bioseguridad,Categoria C2,879.2
716,Anestesia,Categoria C1,2223.12
716,Biomateriales,Categoria C2,0
716,Bioseguridad,Categoria C2,1086.44
720,Anestesia,Categoria C1,2223.12
720,Biomateriales,Categoria C2,9247.300000000001
720,Bioseguridad,Categoria C2,1086.44
722,Anestesia,Categoria C1,2223.12
722,Biomateriales,Categoria C2,9247.300000000001
722,Bioseguridad,Categoria C2,1086.44
728,Anestesia,Categoria C1,3410.04
728,Biomateriales,Categoria C2,7397.84
728,Bioseguridad,Categoria C2,1667.3400000000001
732,Anestesia,Categoria C1,2223.12
732,Biomateriales,Categoria C2,5338
732,Bioseguridad,Categoria C2,1086.44
743,Anestesia,Categoria C1,3410.04
743,Biomateriales,Categoria C2,8007
743,Bioseguridad,Categoria C2,1667.3400000000001
752,Anestesia,Categoria C1,3410.04
752,Biomateriales,Categoria C2,36989.200000000004
752,Bioseguridad,Categoria C2,1667.3400000000001
760,Anestesia,Categoria C1,3410.04
760,Biomateriales,Categoria C2,13872.52
760,Bioseguridad,Categoria C2,1667.3400000000001
761,Anestesia,Categoria C1,3410.04
761,Biomateriales,Categoria C2,4625.22
761,Bioseguridad,Categoria C2,1667.3400000000001
763,Anestesia,Categoria C1,2223.12
763,Biomateriales,Categoria C2,0
763,Bioseguridad,Categoria C2,1086.44
764,Anestesia,Categoria C1,2223.12
764,Biomateriales,Categoria C2,0
764,Bioseguridad,Categoria C2,1086.44
768,Anestesia,Categoria C1,2223.12
768,Biomateriales,Categoria C2,13872.52
768,Bioseguridad,Categoria C2,1086.44
778,Anestesia,Categoria C1,3410.04
778,Biomateriales,Categoria C2,4625.22
778,Bioseguridad,Categoria C2,1667.3400000000001
801,Anestesia,Categoria C1,1802.3600000000001
801,Biomateriales,Categoria C2,0
801,Bioseguridad,Categoria C2,879.2
813,Anestesia,Categoria C1,3410.04
813,Biomateriales,Categoria C2,9247.300000000001
813,Bioseguridad,Categoria C2,1667.3400000000001
814,Anestesia,Categoria C1,2223.12
814,Biomateriales,Categoria C2,5338
814,Bioseguridad,Categoria C2,1086.44
816,Anestesia,Categoria C1,1802.3600000000001
816,Biomateriales,Categoria C2,2669
816,Bioseguridad,Categoria C2,879.2
818,Anestesia,Categoria C1,2223.12
818,Biomateriales,Categoria C2,0
818,Bioseguridad,Categoria C2,1086.44
827,Anestesia,Categoria C1,1802.3600000000001
827,Biomateriales,Categoria C2,3698.92
827,Bioseguridad,Categoria C2,879.2
841,Anestesia,Categoria C1,2223.12
841,Biomateriales,Categoria C2,4625.22
841,Bioseguridad,Categoria C2,1086.44
878,Anestesia,Categoria C1,3410.04
878,Biomateriales,Categoria C2,27741.9
878,Bioseguridad,Categoria C2,1667.3400000000001
879,Anestesia,Categoria C1,3410.04
879,Biomateriales,Categoria C2,6936.26
879,Bioseguridad,Categoria C2,1667.3400000000001
906,Anestesia,Categoria C1,3410.04
906,Biomateriales,Categoria C2,0
906,Bioseguridad,Categoria C2,1667.3400000000001
924,Anestesia,Categoria C1,2223.12
924,Biomateriales,Categoria C2,5338
924,Bioseguridad,Categoria C2,1086.44
932,Anestesia,Categoria C1,2223.12
932,Biomateriales,Categoria C2,5338
932,Bioseguridad,Categoria C2,1086.44
946,Anestesia,Categoria C1,3410.04
946,Biomateriales,Categoria C2,8007
946,Bioseguridad,Categoria C2,1667.3400000000001
959,Anestesia,Categoria C1,3410.04
959,Biomateriales,Categoria C2,13872.52
959,Bioseguridad,Categoria C2,1667.3400000000001
979,Anestesia,Categoria C1,1802.3600000000001
979,Biomateriales,Categoria C2,0
979,Bioseguridad,Categoria C2,879.2
986,Anestesia,Categoria C1,1802.3600000000001
986,Biomateriales,Categoria C2,0
986,Bioseguridad,Categoria C2,879.2
991,Anestesia,Categoria C1,2223.12
991,Biomateriales,Categoria C2,5548.38
991,Bioseguridad,Categoria C2,1086.44
993,Anestesia,Categoria C1,2223.12
993,Biomateriales,Categoria C2,6936.26
993,Bioseguridad,Categoria C2,1086.44
1005,Anestesia,Categoria C1,4546.72
1005,Biomateriales,Categoria C2,32367.120000000003
1005,Bioseguridad,Categoria C2,2223.12
1036,Anestesia,Categoria C1,2223.12
1036,Biomateriales,Categoria C2,8324.140000000001
1036,Bioseguridad,Categoria C2,1086.44
1037,Anestesia,Categoria C1,2223.12
1037,Biomateriales,Categoria C2,0
1037,Bioseguridad,Categoria C2,1086.44
1056,Anestesia,Categoria C1,1802.3600000000001
1056,Biomateriales,Categoria C2,0
1056,Bioseguridad,Categoria C2,879.2
1073,Anestesia,Categoria C1,1802.3600000000001
1073,Biomateriales,Categoria C2,0
1073,Bioseguridad,Categoria C2,879.2
1074,Anestesia,Categoria C1,2223.12
1074,Biomateriales,Categoria C2,0
1074,Bioseguridad,Categoria C2,1086.44
1078,Anestesia,Categoria C1,1802.3600000000001
1078,Biomateriales,Categoria C2,0
1078,Bioseguridad,Categoria C2,879.2
1083,Anestesia,Categoria C1,2223.12
1083,Biomateriales,Categoria C2,0
1083,Bioseguridad,Categoria C2,1086.44
1104,Anestesia,Categoria C1,2223.12
1104,Biomateriales,Categoria C2,0
1104,Bioseguridad,Categoria C2,1086.44
1116,Anestesia,Categoria C1,3410.04
1116,Biomateriales,Categoria C2,13872.52
1116,Bioseguridad,Categoria C2,1667.3400000000001
1118,Anestesia,Categoria C1,3410.04
1118,Biomateriales,Categoria C2,13872.52
1118,Bioseguridad,Categoria C2,1667.3400000000001
1133,Anestesia,Categoria C1,1802.3600000000001
1133,Biomateriales,Categoria C2,2669
1133,Bioseguridad,Categoria C2,879.2
1137,Anestesia,Categoria C1,2223.12
1137,Biomateriales,Categoria C2,5548.38
1137,Bioseguridad,Categoria C2,1086.44
1144,Anestesia,Categoria C1,5683.400000000001
1144,Biomateriales,Categoria C2,23119.82
1144,Bioseguridad,Categoria C2,2778.9
1156,Anestesia,Categoria C1,4546.72
1156,Biomateriales,Categoria C2,18494.600000000002
1156,Bioseguridad,Categoria C2,2223.12
1169,Anestesia,Categoria C1,2223.12
1169,Biomateriales,Categoria C2,0
1169,Bioseguridad,Categoria C2,1086.44
1177,Anestesia,Categoria C1,2223.12
1177,Biomateriales,Categoria C2,0
1177,Bioseguridad,Categoria C2,1086.44
1195,Anestesia,Categoria C1,3410.04
1195,Biomateriales,Categoria C2,27741.9
1195,Bioseguridad,Categoria C2,1667.3400000000001
1211,Anestesia,Categoria C1,3410.04
1211,Biomateriales,Categoria C2,0
1211,Bioseguridad,Categoria C2,1667.3400000000001
1212,Anestesia,Categoria C1,1802.3600000000001
1212,Biomateriales,Categoria C2,0
1212,Bioseguridad,Categoria C2,879.2
1217,Anestesia,Categoria C1,2223.12
1217,Biomateriales,Categoria C2,5338
1217,Bioseguridad,Categoria C2,1086.44
1221,Anestesia,Categoria C1,3410.04
1221,Biomateriales,Categoria C2,0
1221,Bioseguridad,Categoria C2,1667.3400000000001
1236,Anestesia,Categoria C1,1802.3600000000001
1236,Biomateriales,Categoria C2,0
1236,Bioseguridad,Categoria C2,879.2
1238,Anestesia,Categoria C1,2223.12
1238,Biomateriales,Categoria C2,5338
1238,Bioseguridad,Categoria C2,1086.44
1243,Anestesia,Categoria C1,1802.3600000000001
1243,Biomateriales,Categoria C2,0
1243,Bioseguridad,Categoria C2,879.2
1246,Anestesia,Categoria C1,1802.3600000000001
1246,Biomateriales,Categoria C2,0
1246,Bioseguridad,Categoria C2,879.2
1248,Anestesia,Categoria C1,1802.3600000000001
1248,Biomateriales,Categoria C2,0
1248,Bioseguridad,Categoria C2,879.2
1262,Anestesia,Categoria C1,1802.3600000000001
1262,Biomateriales,Categoria C2,0
1262,Bioseguridad,Categoria C2,879.2
1264,Anestesia,Categoria C1,1802.3600000000001
1264,Biomateriales,Categoria C2,0
1264,Bioseguridad,Categoria C2,879.2
1274,Anestesia,Categoria C1,2223.12
1274,Biomateriales,Categoria C2,0
1274,Bioseguridad,Categoria C2,1086.44
1276,Anestesia,Categoria C1,2223.12
1276,Biomateriales,Categoria C2,4160.5
1276,Bioseguridad,Categoria C2,1086.44
1299,Anestesia,Categoria C1,5683.400000000001
1299,Biomateriales,Categoria C2,13872.52
1299,Bioseguridad,Categoria C2,2778.9
1311,Anestesia,Categoria C1,1802.3600000000001
1311,Biomateriales,Categoria C2,0
1311,Bioseguridad,Categoria C2,879.2
1314,Anestesia,Categoria C1,2223.12
1314,Biomateriales,Categoria C2,6009.96
1314,Bioseguridad,Categoria C2,1086.44
1392,Anestesia,Categoria C1,2223.12
1392,Biomateriales,Categoria C2,5338
1392,Bioseguridad,Categoria C2,1086.44
1394,Anestesia,Categoria C1,2223.12
1394,Biomateriales,Categoria C2,5338
1394,Bioseguridad,Categoria C2,1086.44
1416,Anestesia,Categoria C1,2223.12
1416,Biomateriales,Categoria C2,8785.720000000001
1416,Bioseguridad,Categoria C2,1086.44
1419,Anestesia,Categoria C1,2223.12
1419,Biomateriales,Categoria C2,12023.060000000001
1419,Bioseguridad,Categoria C2,1086.44
1420,Anestesia,Categoria C1,2223.12
1420,Biomateriales,Categoria C2,5338
1420,Bioseguridad,Categoria C2,1086.44
1421,Anestesia,Categoria C1,2223.12
1421,Biomateriales,Categoria C2,9247.300000000001
1421,Bioseguridad,Categoria C2,1086.44
1426,Anestesia,Categoria C1,2223.12
1426,Biomateriales,Categoria C2,11096.76
1426,Bioseguridad,Categoria C2,1086.44
1428,Anestesia,Categoria C1,2223.12
1428,Biomateriales,Categoria C2,5338
1428,Bioseguridad,Categoria C2,1086.44
1430,Anestesia,Categoria C1,2223.12
1430,Biomateriales,Categoria C2,36989.200000000004
1430,Bioseguridad,Categoria C2,1086.44
1433,Anestesia,Categoria C1,2223.12
1433,Biomateriales,Categoria C2,11096.76
1433,Bioseguridad,Categoria C2,1086.44
1434,Anestesia,Categoria C1,3410.04
1434,Biomateriales,Categoria C2,20805.64
1434,Bioseguridad,Categoria C2,1667.3400000000001
1451,Anestesia,Categoria C1,2223.12
1451,Biomateriales,Categoria C2,5338
1451,Bioseguridad,Categoria C2,1086.44
1452,Anestesia,Categoria C1,2223.12
1452,Biomateriales,Categoria C2,5338
1452,Bioseguridad,Categoria C2,1086.44
1460,Anestesia,Categoria C1,2223.12
1460,Biomateriales,Categoria C2,7859.42
1460,Bioseguridad,Categoria C2,1086.44
1461,Anestesia,Categoria C1,2223.12
1461,Biomateriales,Categoria C2,0
1461,Bioseguridad,Categoria C2,1086.44
1477,Anestesia,Categoria C1,2223.12
1477,Biomateriales,Categoria C2,0
1477,Bioseguridad,Categoria C2,1086.44
1478,Anestesia,Categoria C1,1802.3600000000001
1478,Biomateriales,Categoria C2,2669
1478,Bioseguridad,Categoria C2,879.2
1487,Anestesia,Categoria C1,1802.3600000000001
1487,Biomateriales,Categoria C2,2669
1487,Bioseguridad,Categoria C2,879.2
1516,Anestesia,Categoria C1,3410.04
1516,Biomateriales,Categoria C2,7859.42
1516,Bioseguridad,Categoria C2,1667.3400000000001
1528,Anestesia,Categoria C1,2223.12
1528,Biomateriales,Categoria C2,3698.92
1528,Bioseguridad,Categoria C2,1086.44
1536,Anestesia,Categoria C1,2223.12
1536,Biomateriales,Categoria C2,4160.5
1536,Bioseguridad,Categoria C2,1086.44
1575,Anestesia,Categoria C1,2223.12
1575,Biomateriales,Categoria C2,0
1575,Bioseguridad,Categoria C2,1086.44
1589,Anestesia,Categoria C1,2223.12
1589,Biomateriales,Categoria C2,0
1589,Bioseguridad,Categoria C2,1086.44
1592,Anestesia,Categoria C1,2223.12
1592,Biomateriales,Categoria C2,0
1592,Bioseguridad,Categoria C2,1086.44
1601,Anestesia,Categoria C1,2223.12
1601,Biomateriales,Categoria C2,0
1601,Bioseguridad,Categoria C2,1086.44
1624,Anestesia,Categoria C1,1802.3600000000001
1624,Biomateriales,Categoria C2,0
1624,Bioseguridad,Categoria C2,879.2
1628,Anestesia,Categoria C1,1802.3600000000001
1628,Biomateriales,Categoria C2,0
1628,Bioseguridad,Categoria C2,879.2
1641,Anestesia,Categoria C1,2223.12
1641,Biomateriales,Categoria C2,6474.68
1641,Bioseguridad,Categoria C2,1086.44
1643,Anestesia,Categoria C1,1802.3600000000001
1643,Biomateriales,Categoria C2,0
1643,Bioseguridad,Categoria C2,879.2
1686,Anestesia,Categoria C1,2223.12
1686,Biomateriales,Categoria C2,0
1686,Bioseguridad,Categoria C2,1086.44
1690,Anestesia,Categoria C1,1802.3600000000001
1690,Biomateriales,Categoria C2,0
1690,Bioseguridad,Categoria C2,879.2
1724,Anestesia,Categoria C1,1802.3600000000001
1724,Biomateriales,Categoria C2,2669
1724,Bioseguridad,Categoria C2,879.2
1730,Anestesia,Categoria C1,2223.12
1730,Biomateriales,Categoria C2,3698.92
1730,Bioseguridad,Categoria C2,1086.44
1753,Anestesia,Categoria C1,1802.3600000000001
1753,Biomateriales,Categoria C2,0
1753,Bioseguridad,Categoria C2,879.2
1760,Anestesia,Categoria C1,2223.12
1760,Biomateriales,Categoria C2,0
1760,Bioseguridad,Categoria C2,1086.44
1765,Anestesia,Categoria C1,1802.3600000000001
1765,Biomateriales,Categoria C2,3698.92
1765,Bioseguridad,Categoria C2,879.2
1778,Anestesia,Categoria C1,2223.12
1778,Biomateriales,Categoria C2,3698.92
1778,Bioseguridad,Categoria C2,1086.44
1779,Anestesia,Categoria C1,1802.3600000000001
1779,Biomateriales,Categoria C2,0
1779,Bioseguridad,Categoria C2,879.2
1803,Anestesia,Categoria C1,2223.12
1803,Biomateriales,Categoria C2,2775.76
1803,Bioseguridad,Categoria C2,1086.44
1817,Anestesia,Categoria C1,2223.12
1817,Biomateriales,Categoria C2,2775.76
1817,Bioseguridad,Categoria C2,1086.44
1818,Anestesia,Categoria C1,2223.12
1818,Biomateriales,Categoria C2,0
1818,Bioseguridad,Categoria C2,1086.44
1821,Anestesia,Categoria C1,1802.3600000000001
1821,Biomateriales,Categoria C2,0
1821,Bioseguridad,Categoria C2,879.2
1842,Anestesia,Categoria C1,2223.12
1842,Biomateriales,Categoria C2,0
1842,Bioseguridad,Categoria C2,1086.44
1844,Anestesia,Categoria C1,2223.12
1844,Biomateriales,Categoria C2,0
1844,Bioseguridad,Categoria C2,1086.44
1861,Anestesia,Categoria C1,2223.12
1861,Biomateriales,Categoria C2,3698.92
1861,Bioseguridad,Categoria C2,1086.44
1865,Anestesia,Categoria C1,2223.12
1865,Biomateriales,Categoria C2,5338
1865,Bioseguridad,Categoria C2,1086.44
1889,Anestesia,Categoria C1,1802.3600000000001
1889,Biomateriales,Categoria C2,1849.46
1889,Bioseguridad,Categoria C2,879.2
1895,Anestesia,Categoria C1,2223.12
1895,Biomateriales,Categoria C2,0
1895,Bioseguridad,Categoria C2,1086.44
1897,Anestesia,Categoria C1,2223.12
1897,Biomateriales,Categoria C2,7859.42
1897,Bioseguridad,Categoria C2,1086.44
1908,Anestesia,Categoria C1,3410.04
1908,Biomateriales,Categoria C2,0
1908,Bioseguridad,Categoria C2,1667.3400000000001
1909,Anestesia,Categoria C1,2223.12
1909,Biomateriales,Categoria C2,5548.38
1909,Bioseguridad,Categoria C2,1086.44
1954,Anestesia,Categoria C1,4546.72
1954,Biomateriales,Categoria C2,13872.52
1954,Bioseguridad,Categoria C2,2223.12
1962,Anestesia,Categoria C1,1802.3600000000001
1962,Biomateriales,Categoria C2,1849.46
1962,Bioseguridad,Categoria C2,879.2
1963,Anestesia,Categoria C1,2223.12
1963,Biomateriales,Categoria C2,5548.38
1963,Bioseguridad,Categoria C2,1086.44
1964,Anestesia,Categoria C1,2223.12
1964,Biomateriales,Categoria C2,0
1964,Bioseguridad,Categoria C2,1086.44
1998,Anestesia,Categoria C1,2223.12
1998,Biomateriales,Categoria C2,0
1998,Bioseguridad,Categoria C2,1086.44
2034,Anestesia,Categoria C1,1802.3600000000001
2034,Biomateriales,Categoria C2,0
2034,Bioseguridad,Categoria C2,879.2
2052,Anestesia,Categoria C1,2223.12
2052,Biomateriales,Categoria C2,0
2052,Bioseguridad,Categoria C2,1086.44
2074,Anestesia,Categoria C1,3410.04
2074,Biomateriales,Categoria C2,13872.52
2074,Bioseguridad,Categoria C2,1667.3400000000001
2083,Anestesia,Categoria C1,2223.12
2083,Biomateriales,Categoria C2,4625.22
2083,Bioseguridad,Categoria C2,1086.44
2095,Anestesia,Categoria C1,1802.3600000000001
2095,Biomateriales,Categoria C2,926.3000000000001
2095,Bioseguridad,Categoria C2,879.2
2114,Anestesia,Categoria C1,2223.12
2114,Biomateriales,Categoria C2,3698.92
2114,Bioseguridad,Categoria C2,1086.44
2121,Anestesia,Categoria C1,1802.3600000000001
2121,Biomateriales,Categoria C2,2669
2121,Bioseguridad,Categoria C2,879.2
2125,Anestesia,Categoria C1,1802.3600000000001
2125,Biomateriales,Categoria C2,0
2125,Bioseguridad,Categoria C2,879.2
2141,Anestesia,Categoria C1,2223.12
2141,Biomateriales,Categoria C2,4625.22
2141,Bioseguridad,Categoria C2,1086.44
2143,Anestesia,Categoria C1,2223.12
2143,Biomateriales,Categoria C2,4160.5
2143,Bioseguridad,Categoria C2,1086.44
2148,Anestesia,Categoria C1,9093.44
2148,Biomateriales,Categoria C2,21352
2148,Bioseguridad,Categoria C2,4446.24
2167,Anestesia,Categoria C1,2223.12
2167,Biomateriales,Categoria C2,3698.92
2167,Bioseguridad,Categoria C2,1086.44
2170,Anestesia,Categoria C1,2223.12
2170,Biomateriales,Categoria C2,0
2170,Bioseguridad,Categoria C2,1086.44
2179,Anestesia,Categoria C1,3410.04
2179,Biomateriales,Categoria C2,0
2179,Bioseguridad,Categoria C2,1667.3400000000001
2183,Anestesia,Categoria C1,2223.12
2183,Biomateriales,Categoria C2,3698.92
2183,Bioseguridad,Categoria C2,1086.44
2200,Anestesia,Categoria C1,2223.12
2200,Biomateriales,Categoria C2,0
2200,Bioseguridad,Categoria C2,1086.44
2203,Anestesia,Categoria C1,2223.12
2203,Biomateriales,Categoria C2,8324.140000000001
2203,Bioseguridad,Categoria C2,1086.44
2210,Anestesia,Categoria C1,1802.3600000000001
2210,Biomateriales,Categoria C2,0
2210,Bioseguridad,Categoria C2,879.2
2218,Anestesia,Categoria C1,2223.12
2218,Biomateriales,Categoria C2,8324.140000000001
2218,Bioseguridad,Categoria C2,1086.44
2219,Anestesia,Categoria C1,1802.3600000000001
2219,Biomateriales,Categoria C2,0
2219,Bioseguridad,Categoria C2,879.2
2227,Anestesia,Categoria C1,1802.3600000000001
2227,Biomateriales,Categoria C2,0
2227,Bioseguridad,Categoria C2,879.2
2228,Anestesia,Categoria C1,2223.12
2228,Biomateriales,Categoria C2,8324.140000000001
2228,Bioseguridad,Categoria C2,1086.44
2230,Anestesia,Categoria C1,3410.04
2230,Biomateriales,Categoria C2,5548.38
2230,Bioseguridad,Categoria C2,1667.3400000000001
2234,Anestesia,Categoria C1,1802.3600000000001
2234,Biomateriales,Categoria C2,0
